name,population,population_normalized,abbrev,latitude,longitude
Alabama,5108468,0.131103367048637,AL,32.318231,-86.902298
Alaska,733406,0.018822080516835,AK,63.588753,-154.493062
Arizona,7431344,0.190717494970447,AZ,34.048928,-111.093731
Arkansas,3067732,0.078730060441379,AR,35.20105,-91.831833
California,38965193,1,CA,36.778261,-119.417932
Colorado,5877610,0.150842573781169,CO,39.550051,-105.782067
Connecticut,3617176,0.092830952999514,CT,41.603221,-73.087749
Delaware,1031890,0.026482353109351,DE,38.910832,-75.52767
District of Columbia,678972,0.017425090131082,DC,38.905985,-77.033418
Florida,22610726,0.580280097675892,FL,27.664827,-81.515754
Georgia,11029227,0.283053313761336,GA,32.157435,-82.907123
Hawaii,1435138,0.036831281703134,HI,19.898682,-155.665857
Idaho,1964726,0.050422591259846,ID,44.068202,-114.742041
Illinois,12549689,0.322074344659348,IL,40.633125,-89.398528
Indiana,6862199,0.176110997320095,IN,40.551217,-85.602364
Iowa,3207004,0.08230432735185,IA,41.878003,-93.097702
Kansas,2940546,0.075465967793359,KS,39.011902,-98.484246
Kentucky,4526154,0.116158901099245,KY,37.839333,-84.270018
Louisiana,4573749,0.117380375865198,LA,31.244823,-92.145024
Maine,1395722,0.035819712223676,ME,45.253783,-69.445469
Maryland,6180253,0.158609582660094,MD,39.045755,-76.641271
Massachusetts,7001399,0.179683416427579,MA,42.407211,-71.382437
Michigan,10037261,0.257595567408071,MI,44.314844,-85.602364
Minnesota,5737915,0.147257451028152,MN,46.729553,-94.6859
Mississippi,2939690,0.075443999468962,MS,32.354668,-89.398528
Missouri,6196156,0.159017716144765,MO,37.964253,-91.831833
Montana,1132812,0.029072408290137,MT,46.879682,-110.362566
Nebraska,1978379,0.050772980901185,NE,41.492537,-99.901813
Nevada,3194176,0.081975110453065,NV,38.80261,-116.419389
New Hampshire,1402054,0.035982216230778,NH,43.193852,-71.572395
New Jersey,9290841,0.238439496501403,NJ,40.058324,-74.405661
New Mexico,2114371,0.054263070120043,NM,34.97273,-105.032363
New York,19571216,0.502274324677411,NY,43.299428,-74.217933
North Carolina,10835491,0.278081286547201,NC,35.759573,-79.0193
North Dakota,783926,0.02011862227912,ND,47.551493,-101.002012
Ohio,11785935,0.302473415183649,OH,40.417287,-82.907123
Oklahoma,4053824,0.104037056867651,OK,35.007752,-97.092877
Oregon,4233358,0.108644604942673,OR,43.804133,-120.554201
Pennsylvania,12961683,0.332647729988146,PA,41.203322,-77.194525
Rhode Island,1095962,0.028126692456008,RI,41.580095,-71.477429
South Carolina,5373555,0.137906541358592,SC,33.836081,-81.163725
South Dakota,919318,0.023593313139755,SD,43.969515,-99.901813
Tennessee,7126489,0.182893717477545,TN,35.517491,-86.580447
Texas,30503301,0.782834592914759,TX,31.968599,-99.901813
Utah,3417734,0.087712487398689,UT,39.32098,-111.093731
Vermont,647464,0.016616471012988,VT,44.558803,-72.577841
Virginia,8715698,0.223679066596693,VA,37.431573,-78.656894
Washington,7812880,0.20050920830804,WA,47.751074,-120.740139
West Virginia,1770071,0.045426978893701,WV,38.597626,-80.454903
Wisconsin,5910955,0.151698337539352,WI,43.78444,-88.787868
Wyoming,584057,0.014989198180027,WY,43.075968,-107.290284
Puerto Rico,3205691,0.082270630611274,PR,18.220833,-66.590149
